ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Datetime,OccupancyRate,Price
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,05-10-2016 08:30:00,0.1022530329289428,5.0
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,05-10-2016 09:04:00,0.12305025996533796,5.0
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,05-10-2016 09:30:00,0.1438474870017331,5.0
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,05-10-2016 10:04:00,0.1975736568457539,5.0
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,05-10-2016 10:30:00,0.2218370883882149,5.0
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,05-10-2016 11:04:00,0.2564991334488735,5.0
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,05-10-2016 11:30:00,0.2807625649913345,5.0
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,05-10-2016 12:04:00,0.30849220103986136,5.0
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,05-10-2016 12:30:00,0.317157712305026,5.0
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,05-10-2016 12:57:00,0.30329289428076256,5.0
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,05-10-2016 13:30:00,0.31022530329289427,5.0
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,05-10-2016,13:57:00,05-10-2016 13:57:00,0.30155979202772965,5.0
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,05-10-2016 14:30:00,0.2738301559792028,5.0
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,05-10-2016,14:57:00,05-10-2016 14:57:00,0.2512998266897747,5.0
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,05-10-2016,15:30:00,05-10-2016 15:30:00,0.22357019064124783,5.0
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,05-10-2016,16:04:00,05-10-2016 16:04:00,0.2097053726169844,5.0
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,05-10-2016,16:30:00,05-10-2016 16:30:00,0.1975736568457539,5.0
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,06-10-2016,07:57:00,06-10-2016 07:57:00,0.10051993067590988,5.0
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,06-10-2016,08:30:00,06-10-2016 08:30:00,0.10918544194107452,5.0
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,06-10-2016,08:57:00,06-10-2016 08:57:00,0.12131715771230503,5.0
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,06-10-2016,09:30:00,06-10-2016 09:30:00,0.16464471403812825,5.0
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,06-10-2016,10:03:00,06-10-2016 10:03:00,0.2339688041594454,5.0
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,average,3,0,06-10-2016,10:30:00,06-10-2016 10:30:00,0.2772963604852686,5.0
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,average,3,0,06-10-2016,10:57:00,06-10-2016 10:57:00,0.30675909878682844,5.0
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,average,4,0,06-10-2016,11:30:00,06-10-2016 11:30:00,0.3310225303292894,5.0
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,06-10-2016,12:04:00,06-10-2016 12:04:00,0.34488734835355284,5.0
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,06-10-2016,12:30:00,06-10-2016 12:30:00,0.35701906412478335,5.0
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,average,5,0,06-10-2016,12:57:00,06-10-2016 12:57:00,0.3431542461005199,5.0
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,high,7,0,06-10-2016,13:30:00,06-10-2016 13:30:00,0.36048526863084923,5.0
48,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,5,0,06-10-2016,13:57:00,06-10-2016 13:57:00,0.3466204506065858,5.0
49,BHMBCCMKT01,577,26.14453614,91.73617216,175,cycle,average,3,0,06-10-2016,14:30:00,06-10-2016 14:30:00,0.30329289428076256,5.0
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,2,0,06-10-2016,15:04:00,06-10-2016 15:04:00,0.2738301559792028,5.0
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,2,0,06-10-2016,15:31:00,06-10-2016 15:31:00,0.2651646447140381,5.0
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,low,1,0,06-10-2016,16:04:00,06-10-2016 16:04:00,0.2339688041594454,5.0
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,06-10-2016,16:30:00,06-10-2016 16:30:00,0.22357019064124783,5.0
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,07-10-2016,08:03:00,07-10-2016 08:03:00,0.10051993067590988,5.0
55,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,07-10-2016,08:30:00,07-10-2016 08:30:00,0.10571923743500866,5.0
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,low,1,0,07-10-2016,09:04:00,07-10-2016 09:04:00,0.12998266897746968,5.0
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,low,2,0,07-10-2016,09:30:00,07-10-2016 09:30:00,0.17850953206239167,5.0
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,low,2,0,07-10-2016,09:57:00,07-10-2016 09:57:00,0.2218370883882149,5.0
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,high,5,0,07-10-2016,10:30:00,07-10-2016 10:30:00,0.29809358752166376,5.0
60,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,average,3,0,07-10-2016,10:57:00,07-10-2016 10:57:00,0.32582322357019067,5.0
61,BHMBCCMKT01,577,26.14453614,91.73617216,199,bike,average,4,0,07-10-2016,11:30:00,07-10-2016 11:30:00,0.34488734835355284,5.0
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,high,7,0,07-10-2016,12:03:00,07-10-2016 12:03:00,0.36395147313691506,5.0
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,high,7,0,07-10-2016,12:30:00,07-10-2016 12:30:00,0.35701906412478335,5.0
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,high,7,0,07-10-2016,13:04:00,07-10-2016 13:04:00,0.3466204506065858,5.0
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,high,7,0,07-10-2016,13:30:00,07-10-2016 13:30:00,0.3483535528596187,5.0
66,BHMBCCMKT01,577,26.14453614,91.73617216,193,bike,average,3,0,07-10-2016,14:03:00,07-10-2016 14:03:00,0.3344887348353553,5.0
67,BHMBCCMKT01,577,26.14453614,91.73617216,181,car,average,4,0,07-10-2016,14:30:00,07-10-2016 14:30:00,0.31369150779896016,5.0
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,low,2,0,07-10-2016,15:04:00,07-10-2016 15:04:00,0.29809358752166376,5.0
69,BHMBCCMKT01,577,26.14453614,91.73617216,159,cycle,low,2,0,07-10-2016,15:30:00,07-10-2016 15:30:00,0.2755632582322357,5.0
70,BHMBCCMKT01,577,26.14453614,91.73617216,158,cycle,low,2,0,07-10-2016,15:57:00,07-10-2016 15:57:00,0.2738301559792028,5.0
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,07-10-2016,16:30:00,07-10-2016 16:30:00,0.22876949740034663,5.0
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,08-10-2016,07:57:00,08-10-2016 07:57:00,0.10051993067590988,5.0
73,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,08-10-2016,08:30:00,08-10-2016 08:30:00,0.10571923743500866,5.0
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,low,1,0,08-10-2016,08:57:00,08-10-2016 08:57:00,0.12998266897746968,5.0
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,low,2,0,08-10-2016,09:30:00,08-10-2016 09:30:00,0.18024263431542462,5.0
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,3,0,08-10-2016,10:04:00,08-10-2016 10:04:00,0.2738301559792028,5.0
77,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,average,3,0,08-10-2016,10:30:00,08-10-2016 10:30:00,0.3310225303292894,5.0
78,BHMBCCMKT01,577,26.14453614,91.73617216,223,truck,average,4,0,08-10-2016,10:57:00,08-10-2016 10:57:00,0.38648180242634317,5.0
79,BHMBCCMKT01,577,26.14453614,91.73617216,254,car,average,4,0,08-10-2016,11:30:00,08-10-2016 11:30:00,0.44020797227036396,5.0
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,high,7,0,08-10-2016,12:04:00,08-10-2016 12:04:00,0.5303292894280762,5.151646447140381
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,high,8,0,08-10-2016,12:30:00,08-10-2016 12:30:00,0.5545927209705372,5.424610051993067
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,high,7,0,08-10-2016,13:04:00,08-10-2016 13:04:00,0.6031195840554593,5.940207972270364
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,high,7,0,08-10-2016,13:30:00,08-10-2016 13:30:00,0.6187175043327556,6.533795493934142
84,BHMBCCMKT01,577,26.14453614,91.73617216,395,bike,average,4,0,08-10-2016,14:03:00,08-10-2016 14:03:00,0.6845753899480069,7.456672443674177
85,BHMBCCMKT01,577,26.14453614,91.73617216,400,car,average,4,0,08-10-2016,14:30:00,08-10-2016 14:30:00,0.6932409012131716,8.422876949740035
86,BHMBCCMKT01,577,26.14453614,91.73617216,395,car,average,4,0,08-10-2016,14:57:00,08-10-2016 14:57:00,0.6845753899480069,9.34575389948007
87,BHMBCCMKT01,577,26.14453614,91.73617216,406,car,average,3,0,08-10-2016,15:30:00,08-10-2016 15:30:00,0.7036395147313691,10.363951473136915
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,low,2,0,08-10-2016,16:04:00,08-10-2016 16:04:00,0.6603119584055459,11.165511265164644
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,low,2,0,08-10-2016,16:30:00,08-10-2016 16:30:00,0.6325823223570191,11.82842287694974
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,low,2,1,09-10-2016,08:04:00,09-10-2016 08:04:00,0.07279029462738301,9.82842287694974
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,low,2,1,09-10-2016,08:30:00,09-10-2016 08:30:00,0.07279029462738301,7.828422876949739
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,low,2,1,09-10-2016,09:04:00,09-10-2016 09:04:00,0.07452339688041594,5.828422876949739
93,BHMBCCMKT01,577,26.14453614,91.73617216,43,cycle,low,2,1,09-10-2016,09:30:00,09-10-2016 09:30:00,0.07452339688041594,5.0
94,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,average,3,1,09-10-2016,09:57:00,09-10-2016 09:57:00,0.08665511265164645,5.0
95,BHMBCCMKT01,577,26.14453614,91.73617216,64,cycle,high,5,1,09-10-2016,10:30:00,09-10-2016 10:30:00,0.11091854419410745,5.0
96,BHMBCCMKT01,577,26.14453614,91.73617216,100,truck,average,6,1,09-10-2016,11:04:00,09-10-2016 11:04:00,0.1733102253032929,5.0
97,BHMBCCMKT01,577,26.14453614,91.73617216,126,car,average,6,1,09-10-2016,11:30:00,09-10-2016 11:30:00,0.21837088388214904,5.0
98,BHMBCCMKT01,577,26.14453614,91.73617216,148,car,average,6,1,09-10-2016,11:57:00,09-10-2016 11:57:00,0.2564991334488735,5.0
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,high,9,1,09-10-2016,12:30:00,09-10-2016 12:30:00,0.29462738301559793,5.0
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,high,8,1,09-10-2016,13:04:00,09-10-2016 13:04:00,0.3275563258232236,5.0
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,high,9,1,09-10-2016,13:30:00,09-10-2016 13:30:00,0.35528596187175043,5.0
102,BHMBCCMKT01,577,26.14453614,91.73617216,208,cycle,high,7,1,09-10-2016,14:03:00,09-10-2016 14:03:00,0.36048526863084923,5.0
103,BHMBCCMKT01,577,26.14453614,91.73617216,209,car,average,5,1,09-10-2016,14:30:00,09-10-2016 14:30:00,0.36221837088388215,5.0
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,low,3,1,09-10-2016,15:04:00,09-10-2016 15:04:00,0.3310225303292894,5.0
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,low,3,1,09-10-2016,15:30:00,09-10-2016 15:30:00,0.3119584055459272,5.0
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,low,3,1,09-10-2016,16:03:00,09-10-2016 16:03:00,0.268630849220104,5.0
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,2,1,09-10-2016,16:30:00,09-10-2016 16:30:00,0.23050259965337955,5.0
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,low,1,0,10-10-2016,08:04:00,10-10-2016 08:04:00,0.09358752166377816,5.0
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,low,1,0,10-10-2016,08:30:00,10-10-2016 08:30:00,0.09705372616984402,5.0
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,10-10-2016,09:04:00,10-10-2016 09:04:00,0.11265164644714037,5.0
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,low,2,0,10-10-2016,09:30:00,10-10-2016 09:30:00,0.1265164644714038,5.0
112,BHMBCCMKT01,577,26.14453614,91.73617216,92,cycle,low,2,0,10-10-2016,10:03:00,10-10-2016 10:03:00,0.15944540727902945,5.0
113,BHMBCCMKT01,577,26.14453614,91.73617216,113,cycle,average,4,0,10-10-2016,10:30:00,10-10-2016 10:30:00,0.19584055459272098,5.0
114,BHMBCCMKT01,577,26.14453614,91.73617216,144,car,average,3,0,10-10-2016,10:57:00,10-10-2016 10:57:00,0.24956672443674177,5.0
115,BHMBCCMKT01,577,26.14453614,91.73617216,149,car,average,4,0,10-10-2016,11:30:00,10-10-2016 11:30:00,0.2582322357019064,5.0
116,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,average,4,0,10-10-2016,11:57:00,10-10-2016 11:57:00,0.2755632582322357,5.0
117,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,high,6,0,10-10-2016,12:30:00,10-10-2016 12:30:00,0.29636048526863085,5.0
118,BHMBCCMKT01,577,26.14453614,91.73617216,176,truck,average,5,0,10-10-2016,13:04:00,10-10-2016 13:04:00,0.3050259965337955,5.0
119,BHMBCCMKT01,577,26.14453614,91.73617216,172,car,high,6,0,10-10-2016,13:30:00,10-10-2016 13:30:00,0.29809358752166376,5.0
120,BHMBCCMKT01,577,26.14453614,91.73617216,161,car,high,5,0,10-10-2016,14:03:00,10-10-2016 14:03:00,0.27902946273830154,5.0
121,BHMBCCMKT01,577,26.14453614,91.73617216,154,car,average,3,0,10-10-2016,14:30:00,10-10-2016 14:30:00,0.2668977469670711,5.0
122,BHMBCCMKT01,577,26.14453614,91.73617216,137,car,average,4,0,10-10-2016,14:57:00,10-10-2016 14:57:00,0.23743500866551126,5.0
123,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,low,1,0,10-10-2016,15:30:00,10-10-2016 15:30:00,0.22357019064124783,5.0
124,BHMBCCMKT01,577,26.14453614,91.73617216,130,car,average,3,0,10-10-2016,15:57:00,10-10-2016 15:57:00,0.22530329289428075,5.0
125,BHMBCCMKT01,577,26.14453614,91.73617216,114,truck,low,2,0,10-10-2016,16:30:00,10-10-2016 16:30:00,0.1975736568457539,5.0
126,BHMBCCMKT01,577,26.14453614,91.73617216,56,bike,average,1,0,11-10-2016,08:04:00,11-10-2016 08:04:00,0.09705372616984402,5.0
127,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,11-10-2016,08:30:00,11-10-2016 08:30:00,0.11091854419410745,5.0
128,BHMBCCMKT01,577,26.14453614,91.73617216,74,truck,low,1,0,11-10-2016,08:57:00,11-10-2016 08:57:00,0.12824956672443674,5.0
129,BHMBCCMKT01,577,26.14453614,91.73617216,93,bike,low,2,0,11-10-2016,09:30:00,11-10-2016 09:30:00,0.1611785095320624,5.0
130,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,average,2,0,11-10-2016,09:57:00,11-10-2016 09:57:00,0.22357019064124783,5.0
131,BHMBCCMKT01,577,26.14453614,91.73617216,167,car,average,3,0,11-10-2016,10:30:00,11-10-2016 10:30:00,0.28942807625649913,5.0
132,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,3,0,11-10-2016,10:57:00,11-10-2016 10:57:00,0.3466204506065858,5.0
133,BHMBCCMKT01,577,26.14453614,91.73617216,219,car,average,5,0,11-10-2016,11:30:00,11-10-2016 11:30:00,0.37954939341421146,5.0
134,BHMBCCMKT01,577,26.14453614,91.73617216,225,car,high,7,0,11-10-2016,12:03:00,11-10-2016 12:03:00,0.389948006932409,5.0
135,BHMBCCMKT01,577,26.14453614,91.73617216,221,cycle,high,8,0,11-10-2016,12:30:00,11-10-2016 12:30:00,0.3830155979202773,5.0
136,BHMBCCMKT01,577,26.14453614,91.73617216,217,cycle,high,6,0,11-10-2016,13:04:00,11-10-2016 13:04:00,0.37608318890814557,5.0
137,BHMBCCMKT01,577,26.14453614,91.73617216,217,cycle,high,6,0,11-10-2016,13:31:00,11-10-2016 13:31:00,0.37608318890814557,5.0
138,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,average,4,0,11-10-2016,14:04:00,11-10-2016 14:04:00,0.36048526863084923,5.0
139,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,average,3,0,11-10-2016,14:30:00,11-10-2016 14:30:00,0.3310225303292894,5.0
140,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,low,2,0,11-10-2016,15:03:00,11-10-2016 15:03:00,0.28942807625649913,5.0
141,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,low,2,0,11-10-2016,15:33:00,11-10-2016 15:33:00,0.2755632582322357,5.0
142,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,1,0,11-10-2016,16:01:00,11-10-2016 16:01:00,0.25996533795493937,5.0
143,BHMBCCMKT01,577,26.14453614,91.73617216,127,car,low,2,0,11-10-2016,16:26:00,11-10-2016 16:26:00,0.22010398613518198,5.0
144,BHMBCCMKT01,577,26.14453614,91.73617216,51,bike,low,1,0,12-10-2016,08:04:00,12-10-2016 08:04:00,0.08838821490467938,5.0
145,BHMBCCMKT01,577,26.14453614,91.73617216,57,car,low,2,0,12-10-2016,08:31:00,12-10-2016 08:31:00,0.09878682842287695,5.0
146,BHMBCCMKT01,577,26.14453614,91.73617216,64,bike,low,1,0,12-10-2016,09:03:00,12-10-2016 09:03:00,0.11091854419410745,5.0
147,BHMBCCMKT01,577,26.14453614,91.73617216,73,car,low,1,0,12-10-2016,09:26:00,12-10-2016 09:26:00,0.1265164644714038,5.0
148,BHMBCCMKT01,577,26.14453614,91.73617216,99,car,average,3,0,12-10-2016,10:01:00,12-10-2016 10:01:00,0.17157712305025996,5.0
149,BHMBCCMKT01,577,26.14453614,91.73617216,112,bike,average,3,0,12-10-2016,10:31:00,12-10-2016 10:31:00,0.19410745233968804,5.0
150,BHMBCCMKT01,577,26.14453614,91.73617216,127,bike,average,4,0,12-10-2016,11:04:00,12-10-2016 11:04:00,0.22010398613518198,5.0
151,BHMBCCMKT01,577,26.14453614,91.73617216,128,car,average,4,0,12-10-2016,11:31:00,12-10-2016 11:31:00,0.2218370883882149,5.0
152,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,high,6,0,12-10-2016,12:04:00,12-10-2016 12:04:00,0.24783362218370883,5.0
153,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,average,5,0,12-10-2016,12:31:00,12-10-2016 12:31:00,0.2738301559792028,5.0
154,BHMBCCMKT01,577,26.14453614,91.73617216,157,bike,high,6,0,12-10-2016,13:04:00,12-10-2016 13:04:00,0.2720970537261698,5.0
155,BHMBCCMKT01,577,26.14453614,91.73617216,164,car,high,6,0,12-10-2016,13:34:00,12-10-2016 13:34:00,0.28422876949740034,5.0
156,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,high,5,0,12-10-2016,14:03:00,12-10-2016 14:03:00,0.28942807625649913,5.0
157,BHMBCCMKT01,577,26.14453614,91.73617216,159,bike,average,4,0,12-10-2016,14:34:00,12-10-2016 14:34:00,0.2755632582322357,5.0
158,BHMBCCMKT01,577,26.14453614,91.73617216,140,car,low,2,0,12-10-2016,15:01:00,12-10-2016 15:01:00,0.24263431542461006,5.0
159,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,low,2,0,12-10-2016,15:30:00,12-10-2016 15:30:00,0.2218370883882149,5.0
160,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,12-10-2016,15:57:00,12-10-2016 15:57:00,0.2097053726169844,5.0
161,BHMBCCMKT01,577,26.14453614,91.73617216,111,cycle,average,2,0,12-10-2016,16:31:00,12-10-2016 16:31:00,0.1923743500866551,5.0
162,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,13-10-2016,07:57:00,13-10-2016 07:57:00,0.10051993067590988,5.0
163,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,13-10-2016,08:31:00,13-10-2016 08:31:00,0.11265164644714037,5.0
164,BHMBCCMKT01,577,26.14453614,91.73617216,76,car,low,2,0,13-10-2016,09:04:00,13-10-2016 09:04:00,0.1317157712305026,5.0
165,BHMBCCMKT01,577,26.14453614,91.73617216,97,cycle,low,2,0,13-10-2016,09:31:00,13-10-2016 09:31:00,0.1681109185441941,5.0
166,BHMBCCMKT01,577,26.14453614,91.73617216,127,bike,low,2,0,13-10-2016,09:57:00,13-10-2016 09:57:00,0.22010398613518198,5.0
167,BHMBCCMKT01,577,26.14453614,91.73617216,166,car,average,4,0,13-10-2016,10:31:00,13-10-2016 10:31:00,0.2876949740034662,5.0
168,BHMBCCMKT01,577,26.14453614,91.73617216,200,truck,average,4,0,13-10-2016,11:04:00,13-10-2016 11:04:00,0.3466204506065858,5.0
169,BHMBCCMKT01,577,26.14453614,91.73617216,220,car,average,4,0,13-10-2016,11:31:00,13-10-2016 11:31:00,0.38128249566724437,5.0
170,BHMBCCMKT01,577,26.14453614,91.73617216,230,car,average,4,0,13-10-2016,11:57:00,13-10-2016 11:57:00,0.3986135181975737,5.0
171,BHMBCCMKT01,577,26.14453614,91.73617216,231,cycle,high,7,0,13-10-2016,12:31:00,13-10-2016 12:31:00,0.4003466204506066,5.0
172,BHMBCCMKT01,577,26.14453614,91.73617216,214,car,high,6,0,13-10-2016,13:04:00,13-10-2016 13:04:00,0.3708838821490468,5.0
173,BHMBCCMKT01,577,26.14453614,91.73617216,203,cycle,high,6,0,13-10-2016,13:31:00,13-10-2016 13:31:00,0.35181975736568455,5.0
174,BHMBCCMKT01,577,26.14453614,91.73617216,205,car,average,5,0,13-10-2016,13:57:00,13-10-2016 13:57:00,0.35528596187175043,5.0
175,BHMBCCMKT01,577,26.14453614,91.73617216,181,truck,average,4,0,13-10-2016,14:31:00,13-10-2016 14:31:00,0.31369150779896016,5.0
176,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,low,2,0,13-10-2016,15:04:00,13-10-2016 15:04:00,0.2807625649913345,5.0
177,BHMBCCMKT01,577,26.14453614,91.73617216,144,cycle,low,2,0,13-10-2016,15:31:00,13-10-2016 15:31:00,0.24956672443674177,5.0
178,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,13-10-2016,16:04:00,13-10-2016 16:04:00,0.22876949740034663,5.0
